symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
NMDC,camarilla,MIS,2026-07-22 11:30:00,2026-07-22 12:30:00,83.43,83.15450000000001,359,98.9,67.21,0.3,target_hit
SAIL,camarilla,MIS,2026-07-22 11:30:00,2026-07-22 11:35:00,162.94,162.7995,184,25.85,-5.92,0.1,target_hit
TATACONSUM,camarilla,MIS,2026-07-22 11:30:00,2026-07-22 12:15:00,1087.5,1090.6299999999999,27,84.51,53.32,0.2,target_hit
NTPC,camarilla,MIS,2026-07-22 11:35:00,2026-07-22 15:15:00,350.25,350.65,85,34.0,2.41,0.13,forced_close
HAL,camarilla,MIS,2026-07-22 11:40:00,2026-07-22 14:10:00,4620.0,4591.0,6,-174.0,-203.28,-0.69,trailing_stop
SIEMENS,camarilla,MIS,2026-07-22 11:40:00,2026-07-22 13:10:00,3691.4,3659.2785714285715,8,-256.97,-288.12,-0.81,trailing_stop
JSWENERGY,camarilla,MIS,2026-07-22 11:45:00,2026-07-22 14:45:00,570.5,557.1964285714286,52,-691.79,-722.8,-1.8,trailing_stop
INFY,camarilla,MIS,2026-07-22 11:50:00,2026-07-22 11:55:00,1058.6,1058.4850000000001,28,3.22,-28.21,0.01,target_hit
ABCAPITAL,camarilla,MIS,2026-07-22 11:55:00,2026-07-22 12:10:00,405.05,404.01750000000004,74,76.4,44.67,0.29,target_hit
ATGL,camarilla,MIS,2026-07-22 11:55:00,2026-07-22 12:00:00,689.45,684.615,43,207.91,176.6,0.72,target_hit
BAJAJHLDNG,camarilla,MIS,2026-07-22 11:55:00,2026-07-22 15:00:00,10525,10413.92857142857,2,-222.14,-244.32,-1.06,trailing_stop
BHARTIARTL,camarilla,MIS,2026-07-22 11:55:00,2026-07-22 12:55:00,1943.1,1954.4285714285713,15,-169.93,-200.95,-0.83,trailing_stop
EICHERMOT,camarilla,MIS,2026-07-22 11:55:00,2026-07-22 12:35:00,7622.0,7609.75,3,36.75,12.53,0.21,target_hit
ENRIN,camarilla,MIS,2026-07-22 11:55:00,2026-07-22 14:50:00,3395.0,3369.507142857143,8,-203.94,-232.61,-0.55,trailing_stop
LT,camarilla,MIS,2026-07-22 11:55:00,2026-07-22 12:30:00,3828.0,3822.5099999999998,7,38.43,10.04,0.32,target_hit
ASTRAL,camarilla,MIS,2026-07-22 12:00:00,2026-07-22 12:05:00,1434.6,1434.68,20,1.6,-28.83,0.01,target_hit
FEDERALBNK,camarilla,MIS,2026-07-22 12:00:00,2026-07-22 13:00:00,354.4,352.86,84,129.36,97.87,0.46,target_hit
ONGC,camarilla,MIS,2026-07-22 12:00:00,2026-07-22 12:05:00,251.6,251.66649999999998,119,7.91,-23.84,0.03,target_hit
VEDL,camarilla,MIS,2026-07-22 12:00:00,2026-07-22 15:15:00,261.7,262.3,114,-68.4,-100.08,-0.25,forced_close
ASIANPAINT,camarilla,MIS,2026-07-22 12:05:00,2026-07-22 12:30:00,2676.7,2670.675,11,66.27,35.09,0.29,target_hit
HDFCAMC,camarilla,MIS,2026-07-22 12:05:00,2026-07-22 15:15:00,2540.0,2553.0,11,-143.0,-172.72,-0.44,forced_close
PAYTM,camarilla,MIS,2026-07-22 12:05:00,2026-07-22 13:55:00,1270.0,1281.3214285714287,23,-260.39,-291.54,-0.43,trailing_stop
