trade_id,date,position_type,tradingsymbol,strike,expiry,quantity,entry_time,exit_time,entry_price,exit_price,entry_spot,exit_spot,exit_reason,gross_pnl,net_pnl
14,2026-06-23,SHORT_CE,NIFTY_1300_CE,1300,2026-06-23,65,2026-06-23 15:10:00,2026-06-23 15:15:00,10.4824,9.2324,1310.3,1307.8,EOD_FORCED_SQUARE_OFF,81.25,80.579473029588
15,2026-06-24,SHORT_CE,NIFTY_1300_CE,1300,2026-06-24,65,2026-06-24 09:45:00,2026-06-24 10:00:00,10.3824,15.482400000000023,1297.8,1308.0,SUPERTREND_FLIP_BULLISH,-331.5000000000015,-332.42788731391346
16,2026-06-25,SHORT_PE,NIFTY_1350_PE,1350,2026-06-25,65,2026-06-25 09:50:00,2026-06-25 12:25:00,10.6096,14.659600000000069,1326.2,1318.1,SUPERTREND_FLIP_BEARISH,-263.25000000000443,-264.1498526445524
17,2026-06-29,SHORT_CE,NIFTY_1300_CE,1300,2026-06-29,65,2026-06-29 09:15:00,2026-06-29 15:00:00,10.4864,4.636399999999977,1310.8,1299.1,SUPERTREND_FLIP_BULLISH,380.2500000000015,379.77062488606947
18,2026-06-30,SHORT_CE,NIFTY_1300_CE,1300,2026-06-30,65,2026-06-30 09:35:00,2026-06-30 15:15:00,10.323200000000002,12.523199999999933,1290.4,1294.8,EOD_FORCED_SQUARE_OFF,-142.99999999999557,-143.80312409361156
19,2026-07-01,SHORT_PE,NIFTY_1300_PE,1300,2026-07-01,65,2026-07-01 09:55:00,2026-07-01 15:15:00,10.459200000000001,10.659200000000046,1307.4,1307.0,EOD_FORCED_SQUARE_OFF,-13.000000000002956,-13.729269109298958
20,2026-07-06,SHORT_PE,NIFTY_1300_PE,1300,2026-07-06,65,2026-07-06 10:30:00,2026-07-06 14:10:00,10.4856,6.5856000000000225,1310.7,1318.5,SUPERTREND_FLIP_BEARISH,253.49999999999852,252.93953138407053
21,2026-07-08,SHORT_CE,NIFTY_1300_CE,1300,2026-07-08,65,2026-07-08 09:15:00,2026-07-08 10:15:00,10.336,10.735999999999978,1292.0,1292.8,SUPERTREND_FLIP_BULLISH,-25.999999999998522,-26.72909994767852
22,2026-07-08,SHORT_CE,NIFTY_1300_CE,1300,2026-07-08,65,2026-07-08 13:45:00,2026-07-08 15:15:00,10.297600000000001,4.697599999999978,1287.2,1276.0,EOD_FORCED_SQUARE_OFF,364.0000000000015,363.5232350805135
23,2026-07-10,SHORT_PE,NIFTY_1300_PE,1300,2026-07-10,65,2026-07-10 09:20:00,2026-07-10 15:15:00,10.396,5.7460000000000235,1299.5,1308.8,EOD_FORCED_SQUARE_OFF,302.2499999999985,301.72691847401853
