symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
PIIND,orb_vwap,MIS,2026-06-10 09:40:00,2026-06-10 15:15:00,2840.4,2807.6,10,328.0,298.09,1.54,forced_close
HINDUNILVR,orb_vwap,MIS,2026-06-10 09:45:00,2026-06-10 10:25:00,2199.1,2186.1,13,-169.0,-199.21,-0.84,vwap_cross
ICICIBANK,orb_vwap,MIS,2026-06-10 09:45:00,2026-06-10 10:25:00,1289.7,1284.8,23,-112.7,-144.08,-0.86,vwap_cross
MUTHOOTFIN,orb_vwap,MIS,2026-06-10 09:50:00,2026-06-10 11:10:00,2878.0,2900.0,10,-220.0,-250.66,-0.69,vwap_cross
PNB,orb_vwap,MIS,2026-06-10 10:00:00,2026-06-10 10:30:00,105.96,106.74,283,-220.74,-252.68,-1.75,vwap_cross
IRFC,orb_vwap,MIS,2026-06-10 10:10:00,2026-06-10 15:15:00,96.09,94.56,312,477.36,445.87,2.01,forced_close
SWIGGY,orb_vwap,MIS,2026-06-10 10:10:00,2026-06-10 10:35:00,247.8,250.3,121,-302.5,-334.49,-0.98,vwap_cross
GLENMARK,orb_vwap,MIS,2026-06-10 10:20:00,2026-06-10 11:00:00,2241.8,2218.1,13,-308.1,-338.81,-1.0,vwap_cross
OIL,orb_vwap,MIS,2026-06-10 10:35:00,2026-06-10 15:15:00,461.0,426.7,65,2229.5,2199.15,11.14,forced_close
INDIANB,orb_vwap,MIS,2026-06-10 11:15:00,2026-06-10 15:15:00,847.2,831.7,35,542.5,511.4,2.65,forced_close
BHARATFORG,orb_vwap,MIS,2026-06-10 13:00:00,2026-06-10 15:15:00,1927.0,1948.8,15,327.0,296.14,0.83,forced_close
MPHASIS,orb_vwap,MIS,2026-06-11 09:30:00,2026-06-11 09:35:00,2179.6,2193.9,13,-185.9,-216.07,-1.01,vwap_cross
OIL,orb_vwap,MIS,2026-06-11 09:30:00,2026-06-11 09:55:00,428.85,432.05,69,-220.8,-252.32,-1.01,vwap_cross
PFC,orb_vwap,MIS,2026-06-11 09:30:00,2026-06-11 10:35:00,418.7,419.8,71,-78.1,-109.67,-0.26,vwap_cross
