symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
HDFCBANK,camarilla,MIS,2026-07-09 12:55:00,2026-07-09 15:15:00,820.5,817.0,36,-126.0,-157.24,-0.55,forced_close
RELIANCE,camarilla,MIS,2026-07-13 11:40:00,2026-07-13 15:15:00,1297.4,1296.6,23,18.4,-13.23,0.13,forced_close
ICICIBANK,camarilla,MIS,2026-07-13 15:05:00,2026-07-13 15:15:00,1410.0,1408.6,21,-29.4,-60.78,-0.17,forced_close
HDFCBANK,camarilla,MIS,2026-07-14 11:40:00,2026-07-14 11:45:00,812.0,811.9275,36,2.61,-28.39,0.01,target_hit
RELIANCE,camarilla,MIS,2026-07-14 14:10:00,2026-07-14 14:35:00,1291.7,1290.63,23,24.61,-6.88,0.1,target_hit
RELIANCE,camarilla,MIS,2026-07-15 11:50:00,2026-07-15 11:55:00,1303.9,1304.605,23,16.21,-15.6,0.08,target_hit
HDFCBANK,camarilla,MIS,2026-07-15 15:15:00,2026-07-15 15:20:00,815.5,815.67,36,6.12,-25.02,0.03,target_hit
HDFCBANK,camarilla,MIS,2026-07-16 12:40:00,2026-07-16 13:10:00,810.8,809.95,37,31.45,-0.34,0.17,target_hit
ICICIBANK,camarilla,MIS,2026-07-16 13:20:00,2026-07-16 14:50:00,1409.9,1416.4142857142858,21,-136.8,-168.29,-0.69,trailing_stop
ICICIBANK,camarilla,MIS,2026-07-20 13:15:00,2026-07-20 13:45:00,1457.9,1463.77,20,117.4,86.4,0.45,target_hit
RELIANCE,camarilla,MIS,2026-07-21 11:20:00,2026-07-21 13:00:00,1314.0,1306.05,22,174.9,144.36,1.19,target_hit
RELIANCE,camarilla,MIS,2026-07-22 14:55:00,2026-07-22 15:15:00,1291.0,1291.0,23,-0.0,-31.49,-0.0,forced_close
RELIANCE,camarilla,MIS,2026-07-23 12:00:00,2026-07-23 12:40:00,1281.0,1275.455,23,127.54,96.37,0.67,target_hit
ICICIBANK,camarilla,MIS,2026-07-23 13:25:00,2026-07-23 15:15:00,1428.6,1435.3,20,-134.0,-164.39,-0.6,forced_close
RELIANCE,camarilla,MIS,2026-07-24 11:15:00,2026-07-24 11:25:00,1278.3,1282.815,23,103.85,72.6,0.51,target_hit
HDFCBANK,camarilla,MIS,2026-07-27 11:45:00,2026-07-27 15:15:00,739.25,739.35,40,-4.0,-35.36,-0.03,forced_close
ICICIBANK,camarilla,MIS,2026-07-27 13:40:00,2026-07-27 14:25:00,1439.8,1446.43,20,132.6,101.98,0.63,target_hit
RELIANCE,camarilla,MIS,2026-07-28 11:25:00,2026-07-28 11:30:00,1274.4,1274.115,23,6.56,-24.52,0.03,target_hit
HDFCBANK,camarilla,MIS,2026-07-28 15:00:00,2026-07-28 15:15:00,735.5,736.6,40,-44.0,-75.23,-0.25,forced_close
ICICIBANK,camarilla,MIS,2026-07-29 12:15:00,2026-07-29 15:15:00,1439.5,1437.6,20,-38.0,-68.51,-0.21,forced_close
HDFCBANK,camarilla,MIS,2026-07-30 14:15:00,2026-07-30 15:05:00,751.7,753.9475000000001,39,87.65,56.51,0.64,target_hit
ICICIBANK,camarilla,MIS,2026-07-30 15:25:00,2026-07-30 15:25:00,1429.5,1429.5,20,-0.0,-30.32,-0.0,eod_data_end
RELIANCE,camarilla,MIS,2026-07-31 11:20:00,2026-07-31 14:00:00,1299.1,1304.835,23,131.91,100.13,0.62,target_hit
HDFCBANK,camarilla,MIS,2026-07-31 12:10:00,2026-07-31 15:15:00,749.6,747.6,40,80.0,48.25,0.61,forced_close
