symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
ADANIENT,bollinger_meanrev,MIS,2026-07-03 12:45:00,2026-07-03 13:35:00,3215.0,3185.5,9,265.5,234.99,1.26,target_mid_band
DRREDDY,bollinger_meanrev,MIS,2026-07-03 12:55:00,2026-07-03 13:15:00,1387.2,1378.5,21,182.7,151.92,1.43,target_mid_band
OBEROIRLTY,bollinger_meanrev,MIS,2026-07-03 13:40:00,2026-07-03 14:05:00,1923.7,1931.5428571428572,15,-117.64,-148.32,-0.95,trailing_stop
CONCOR,bollinger_meanrev,MIS,2026-07-03 14:05:00,2026-07-03 15:15:00,489.6,487.2,61,146.4,114.82,0.94,target_mid_band
IDFCFIRSTB,bollinger_meanrev,MIS,2026-07-03 14:30:00,2026-07-03 14:35:00,80.9,81.19999999999999,370,-111.0,-142.81,-0.57,trailing_stop
TATACONSUM,bollinger_meanrev,MIS,2026-07-03 14:30:00,2026-07-03 15:05:00,1115.8,1119.8285714285714,26,-104.74,-135.57,-0.93,trailing_stop
ASTRAL,bollinger_meanrev,MIS,2026-07-03 14:35:00,2026-07-03 14:40:00,1370.0,1374.2571428571428,21,-89.4,-119.97,-1.13,trailing_stop
INDIANB,bollinger_meanrev,MIS,2026-07-03 14:45:00,2026-07-03 14:55:00,797.55,799.8714285714286,37,-85.89,-117.24,-0.79,trailing_stop
INDIGO,bollinger_meanrev,MIS,2026-07-03 14:50:00,2026-07-03 15:15:00,5430.0,5419.0,5,55.0,26.24,0.73,forced_close
OFSS,bollinger_meanrev,MIS,2026-07-03 14:50:00,2026-07-03 15:15:00,11275.0,11240.0,2,70.0,46.13,0.78,forced_close
PAYTM,bollinger_meanrev,MIS,2026-07-03 15:00:00,2026-07-03 15:10:00,1228.2,1227.242857142857,24,22.97,-8.27,0.14,trailing_stop
WAAREEENER,bollinger_meanrev,MIS,2026-07-03 15:00:00,2026-07-03 15:15:00,2869.9,2853.8,10,161.0,130.67,1.56,forced_close
ADANIPOWER,bollinger_meanrev,MIS,2026-07-03 15:05:00,2026-07-03 15:15:00,222.36,221.43,134,124.62,93.1,0.92,forced_close
APOLLOHOSP,bollinger_meanrev,MIS,2026-07-03 15:05:00,2026-07-03 15:15:00,8912.0,8904.0,3,24.0,-4.34,0.28,forced_close
ADANIGREEN,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 10:15:00,1570.0,1572.142857142857,19,-40.71,-72.37,-0.16,trailing_stop
APLAPOLLO,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:20:00,1832.5,1827.9857142857145,16,72.23,41.18,0.32,trailing_stop
BAJAJ-AUTO,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:50:00,9889.5,9918.285714285714,3,-86.36,-117.87,-0.74,trailing_stop
BEL,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:20:00,425.7,428.2285714285714,70,-177.0,-208.71,-1.11,trailing_stop
CHOLAFIN,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:45:00,1817.0,1824.0,16,-112.0,-142.9,-0.66,trailing_stop
GLENMARK,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:25:00,2226.6,2238.8,13,-158.6,-189.4,-1.15,trailing_stop
GODREJCP,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:20:00,1103.5,1103.1714285714286,27,8.87,-22.72,0.03,trailing_stop
HDFCBANK,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:35:00,815.85,818.5785714285714,36,-98.23,-129.44,-0.74,trailing_stop
ICICIBANK,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:25:00,1427.6,1428.4714285714285,21,-18.3,-50.1,-0.17,trailing_stop
LUPIN,bollinger_meanrev,MIS,2026-07-06 09:15:00,2026-07-06 09:25:00,2483.9,2494.7714285714287,12,-130.46,-162.15,-0.9,trailing_stop
AUBANK,bollinger_meanrev,MIS,2026-07-06 09:20:00,2026-07-06 09:30:00,1070.9,1074.8428571428572,28,-110.4,-142.27,-0.5,trailing_stop
INDUSTOWER,bollinger_meanrev,MIS,2026-07-06 09:20:00,2026-07-06 10:15:00,393.2,388.0,76,395.2,363.76,1.57,target_mid_band
RADICO,bollinger_meanrev,MIS,2026-07-06 09:20:00,2026-07-06 09:30:00,3957.7,3973.0142857142855,7,-107.2,-136.65,-0.68,trailing_stop
ALKEM,bollinger_meanrev,MIS,2026-07-06 09:25:00,2026-07-06 09:40:00,5621.0,5576.0,5,225.0,195.34,1.57,target_mid_band
ZYDUSLIFE,bollinger_meanrev,MIS,2026-07-06 09:25:00,2026-07-06 09:30:00,1147.0,1146.6571428571428,26,8.91,-22.7,0.05,trailing_stop
GVT&D,bollinger_meanrev,MIS,2026-07-06 09:30:00,2026-07-06 09:50:00,4523.3,4575.1,6,-310.8,-339.78,-0.86,trailing_stop
INDHOTEL,bollinger_meanrev,MIS,2026-07-06 09:30:00,2026-07-06 09:50:00,740.3,745.1999999999999,40,-196.0,-227.53,-0.97,trailing_stop
SIEMENS,bollinger_meanrev,MIS,2026-07-06 09:30:00,2026-07-06 09:35:00,3569.0,3552.0428571428574,8,135.66,105.47,0.92,trailing_stop
CGPOWER,bollinger_meanrev,MIS,2026-07-06 09:35:00,2026-07-06 09:50:00,913.0,918.6999999999999,32,-182.4,-213.5,-0.56,trailing_stop
HINDALCO,bollinger_meanrev,MIS,2026-07-06 09:35:00,2026-07-06 10:25:00,967.95,972.4642857142857,30,-135.43,-166.31,-0.78,trailing_stop
OBEROIRLTY,bollinger_meanrev,MIS,2026-07-06 09:35:00,2026-07-06 11:00:00,1973.3,1981.8571428571427,15,-128.36,-159.83,-0.43,trailing_stop
ONGC,bollinger_meanrev,MIS,2026-07-06 09:45:00,2026-07-06 10:50:00,241.1,240.97,124,16.12,-15.57,0.08,trailing_stop
DIXON,bollinger_meanrev,MIS,2026-07-06 09:50:00,2026-07-06 10:30:00,12675,12742.714285714286,2,-135.43,-162.4,-0.62,trailing_stop
ENRIN,bollinger_meanrev,MIS,2026-07-06 09:50:00,2026-07-06 10:25:00,3386.0,3433.7000000000003,8,-381.6,-410.57,-0.85,trailing_stop
SRF,bollinger_meanrev,MIS,2026-07-06 09:50:00,2026-07-06 10:50:00,2846.7,2833.0,10,137.0,106.9,0.63,target_mid_band
CUMMINSIND,bollinger_meanrev,MIS,2026-07-06 10:00:00,2026-07-06 11:15:00,5572.5,5542.0,5,152.5,123.05,0.75,target_mid_band
PHOENIXLTD,bollinger_meanrev,MIS,2026-07-06 10:05:00,2026-07-06 10:55:00,2084.6,2083.7999999999997,14,11.2,-19.74,0.03,trailing_stop
JSWSTEEL,bollinger_meanrev,MIS,2026-07-06 10:15:00,2026-07-06 11:20:00,1239.5,1241.8285714285714,24,-55.89,-87.47,-0.4,trailing_stop
TVSMOTOR,bollinger_meanrev,MIS,2026-07-06 10:15:00,2026-07-06 10:35:00,3695.5,3711.5857142857144,8,-128.69,-160.12,-0.63,trailing_stop
UNITDSPR,bollinger_meanrev,MIS,2026-07-06 10:20:00,2026-07-06 10:50:00,1419.9,1428.4571428571428,21,-179.7,-211.44,-0.88,trailing_stop
EICHERMOT,bollinger_meanrev,MIS,2026-07-06 10:30:00,2026-07-06 11:00:00,7433.5,7466.0,4,-130.0,-161.61,-0.74,trailing_stop
HEROMOTOCO,bollinger_meanrev,MIS,2026-07-06 10:40:00,2026-07-06 11:00:00,4896.7,4913.371428571428,6,-100.03,-131.25,-0.73,trailing_stop
IOC,bollinger_meanrev,MIS,2026-07-06 10:50:00,2026-07-06 11:35:00,143.48,143.2357142857143,209,51.06,19.29,0.36,trailing_stop
RELIANCE,bollinger_meanrev,MIS,2026-07-06 10:50:00,2026-07-06 10:55:00,1319.3,1324.2,22,-107.8,-138.65,-1.01,trailing_stop
ASHOKLEY,bollinger_meanrev,MIS,2026-07-06 11:00:00,2026-07-06 11:05:00,166.65,167.32857142857142,180,-122.14,-154.03,-0.8,trailing_stop
M&M,bollinger_meanrev,MIS,2026-07-06 11:05:00,2026-07-06 11:35:00,3196.0,3206.7285714285713,9,-96.56,-127.12,-0.69,trailing_stop
MUTHOOTFIN,bollinger_meanrev,MIS,2026-07-06 11:15:00,2026-07-06 11:20:00,3135.0,3137.9,9,-26.1,-56.04,-0.18,trailing_stop
ADANIENSOL,bollinger_meanrev,MIS,2026-07-06 11:20:00,2026-07-06 11:25:00,1620.9,1633.8857142857141,18,-233.74,-264.83,-1.02,trailing_stop
DMART,bollinger_meanrev,MIS,2026-07-06 11:25:00,2026-07-06 12:00:00,4058.5,4068.057142857143,7,-66.9,-97.07,-0.63,trailing_stop
JUBLFOOD,bollinger_meanrev,MIS,2026-07-06 11:35:00,2026-07-06 12:00:00,445.25,448.3428571428571,67,-207.22,-238.99,-0.64,trailing_stop
NHPC,bollinger_meanrev,MIS,2026-07-06 11:50:00,2026-07-06 12:40:00,80.75,80.13,371,230.02,198.4,1.36,target_mid_band
NTPC,bollinger_meanrev,MIS,2026-07-06 11:55:00,2026-07-06 12:10:00,358.35,357.74285714285713,83,50.39,18.88,0.71,trailing_stop
ABCAPITAL,bollinger_meanrev,MIS,2026-07-06 12:05:00,2026-07-06 12:10:00,408.5,410.15714285714284,73,-120.97,-152.67,-1.11,trailing_stop
RECLTD,bollinger_meanrev,MIS,2026-07-06 12:10:00,2026-07-06 12:25:00,365.15,365.59285714285716,82,-36.31,-68.09,-0.41,trailing_stop
PIDILITIND,bollinger_meanrev,MIS,2026-07-06 12:20:00,2026-07-06 12:30:00,1614.4,1616.3,18,-34.2,-65.04,-0.49,trailing_stop
IDFCFIRSTB,bollinger_meanrev,MIS,2026-07-06 12:25:00,2026-07-06 13:35:00,81.65,81.39142857142856,367,94.9,63.18,0.74,trailing_stop
POWERGRID,bollinger_meanrev,MIS,2026-07-06 12:35:00,2026-07-06 13:35:00,287.05,287.29285714285714,104,-25.26,-56.93,-0.35,trailing_stop
ADANIPOWER,bollinger_meanrev,MIS,2026-07-06 13:20:00,2026-07-06 14:30:00,224.5,223.1,133,186.2,154.66,0.73,target_mid_band
MPHASIS,bollinger_meanrev,MIS,2026-07-06 13:30:00,2026-07-06 14:00:00,2241.4,2233.0,13,109.2,78.37,1.32,target_mid_band
POLICYBZR,bollinger_meanrev,MIS,2026-07-06 13:40:00,2026-07-06 14:25:00,1585.2,1589.8142857142857,18,-83.06,-113.37,-0.52,trailing_stop
