symbol,stage,product,entry_time,exit_time,entry_price,exit_price,shares,gross_pnl,net_pnl,r_multiple,exit_reason
RADICO,swing,CNC,2026-04-15 00:00:00,2026-04-21 00:00:00,2835.0,3249.2,9,3727.8,3651.3,1.32,max_hold_exit
TATAINVEST,swing,CNC,2026-04-15 00:00:00,2026-04-21 00:00:00,725.0,722.25,30,-82.5,-146.68,-0.03,max_hold_exit
ZYDUSLIFE,swing,CNC,2026-04-15 00:00:00,2026-04-21 00:00:00,925.55,928.6,37,112.85,20.69,0.04,max_hold_exit
ADANIENT,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,2170.0,2260.8,10,908.0,842.9,0.32,max_hold_exit
APOLLOHOSP,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,7678.0,7662.0,5,-80.0,-181.17,-0.03,max_hold_exit
ASIANPAINT,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,2435.0,2562.9,12,1534.8,1452.34,0.53,max_hold_exit
COCHINSHIP,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,1492.0,1583.1,13,1184.3,1124.04,0.4,max_hold_exit
CONCOR,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,496.85,515.7,59,1112.15,1029.92,0.37,max_hold_exit
DIXON,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,11250.0,11267.0,2,34.0,-31.97,0.01,max_hold_exit
ENRIN,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,2935.0,3188.2,9,2278.8,2201.8,0.84,max_hold_exit
EXIDEIND,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,331.9,354.55,82,1857.3,1778.96,0.62,max_hold_exit
GMRAIRPORT,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,99.3,97.39,251,-479.41,-550.24,-0.16,max_hold_exit
GODREJPROP,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,1750.0,1832.2,14,1150.8,1079.23,0.4,max_hold_exit
HAL,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,4284.8,4400.6,7,810.6,727.17,0.29,max_hold_exit
HDFCAMC,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,2643.4,2707.2,9,574.2,504.8,0.2,max_hold_exit
HUDCO,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,190.0,199.88,125,1235.0,1165.01,0.41,max_hold_exit
INDIGO,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,4699.9,4640.9,4,-236.0,-293.47,-0.08,max_hold_exit
JSWSTEEL,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,1221.2,1263.4,28,1181.6,1088.45,0.4,max_hold_exit
KEI,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,4640.0,4909.7,5,1348.5,1279.61,0.48,max_hold_exit
POLYCAB,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,7845.0,8038.0,3,579.0,510.16,0.23,max_hold_exit
RECLTD,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,355.0,383.35,82,2324.7,2241.67,0.78,max_hold_exit
SHRIRAMFIN,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,1026.1,1044.55,20,369.0,307.08,0.13,max_hold_exit
VMM,swing,CNC,2026-04-16 00:00:00,2026-04-22 00:00:00,117.74,124.56,199,1357.18,1287.77,0.45,max_hold_exit
